Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,cell_type,Developmental_stage,cell_line
SRR5182696,RNA-Seq,50,720229800,PRJNA362227,SAMN06236711,456024643,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX2498797,GSM2461336,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461336,"sorted live neurons\, P14 pupal\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,P14 pupal,
SRR5182697,RNA-Seq,50,651467650,PRJNA362227,SAMN06236734,413453724,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX2498798,GSM2461337,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461337,"sorted live neurons\, P14 pupal\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,P14 pupal,
SRR5182698,RNA-Seq,50,501312400,PRJNA362227,SAMN06236733,318819526,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2498799,GSM2461338,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:10:00Z,1,GSM2461338,"sorted live neurons\, P14 pupal\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,P14 pupal,
SRR5182699,RNA-Seq,50,744291500,PRJNA362227,SAMN06236732,473503018,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX2498800,GSM2461339,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461339,"sorted live neurons\, third instar larval\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,third instar larval,
SRR5182700,RNA-Seq,50,607856150,PRJNA362227,SAMN06236731,386029421,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2498801,GSM2461340,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:12:00Z,1,GSM2461340,"sorted live neurons\, third instar larval\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,third instar larval,
SRR5182701,RNA-Seq,50,641763000,PRJNA362227,SAMN06236730,407428219,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX2498802,GSM2461341,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461341,"sorted live neurons\, third instar larval\, dicer-gfp_shep-rnai",SRP096911,dicer-gfp_shep-rnai,neurons,third instar larval,
SRR5182702,RNA-Seq,50,602992350,PRJNA362227,SAMN06236729,383110310,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX2498803,GSM2461342,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461342,"sorted live neurons\, P14 pupal\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,P14 pupal,
SRR5182703,RNA-Seq,50,639787300,PRJNA362227,SAMN06236728,406192647,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX2498804,GSM2461343,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461343,"sorted live neurons\, P14 pupal\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,P14 pupal,
SRR5182704,RNA-Seq,50,645383100,PRJNA362227,SAMN06236727,409821107,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX2498805,GSM2461344,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:13:00Z,1,GSM2461344,"sorted live neurons\, P14 pupal\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,P14 pupal,
SRR5182705,RNA-Seq,50,867006750,PRJNA362227,SAMN06236726,550448623,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX2498806,GSM2461345,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:12:00Z,1,GSM2461345,"sorted live neurons\, third instar larval\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,third instar larval,
SRR5182706,RNA-Seq,50,664061850,PRJNA362227,SAMN06236725,421272040,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX2498807,GSM2461346,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:12:00Z,1,GSM2461346,"sorted live neurons\, third instar larval\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,third instar larval,
SRR5182707,RNA-Seq,50,718867500,PRJNA362227,SAMN06236724,455538089,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX2498808,GSM2461347,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:12:00Z,1,GSM2461347,"sorted live neurons\, third instar larval\, dicer-gfp_x",SRP096911,dicer-gfp_x,neurons,third instar larval,
SRR5182708,RNA-Seq,51,313585740,PRJNA362227,SAMN06236723,192621062,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX2498809,GSM2461348,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461348,"cell culture from nervous system\, ds-GFP",SRP096911,dsRNA targeting GFP,,,BG3
SRR5182709,RNA-Seq,51,354164145,PRJNA362227,SAMN06236722,217275323,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX2498810,GSM2461349,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461349,"cell culture from nervous system\, ds-GFP",SRP096911,dsRNA targeting GFP,,,BG3
SRR5182710,RNA-Seq,51,331996689,PRJNA362227,SAMN06236721,204104825,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2498811,GSM2461350,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461350,"cell culture from nervous system\, ds-GFP",SRP096911,dsRNA targeting GFP,,,BG3
SRR5182711,RNA-Seq,51,484674828,PRJNA362227,SAMN06236720,298600165,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX2498812,GSM2461351,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461351,"cell culture from nervous system\, ds-shep",SRP096911,dsRNA targeting shep,,,BG3
SRR5182712,RNA-Seq,51,379084887,PRJNA362227,SAMN06236719,233433872,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX2498813,GSM2461352,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461352,"cell culture from nervous system\, ds-shep",SRP096911,dsRNA targeting shep,,,BG3
SRR5182713,RNA-Seq,51,410430405,PRJNA362227,SAMN06236718,252947684,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX2498814,GSM2461353,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Drosophila melanogaster,ILLUMINA,2017-11-22T00:00:00Z,2017-01-17T18:11:00Z,1,GSM2461353,"cell culture from nervous system\, ds-shep",SRP096911,dsRNA targeting shep,,,BG3

